Fecha,Descripción,Mano de obra (€),Tipo,Marca
2023-11-28,"Samsung A21S REVISAR PARA CAMBIO DE PANTALLA, 79€, 27€",79.00€,Cambio pantalla,Samsung
2023-11-28,IPHONE X CAMBIO DE PANTALLA 69€ BANDEJA DE SIM 20€,69.00€,Cambio pantalla,Apple
2023-11-28,MI 5 S PLUS LIMPIEZA PUERTO DE CARGA 15 € 26€,15.00€,Puerto carga/conector,Xiaomi/Redmi
2023-11-28,"iphone 13 limpieza conetor y altavoz, 15€, esta 15€",15.00€,Limpieza,Apple
2023-11-28,"iPhone Xr CAMBIAR PANTALLA ROTA, 85€, TAPA TRASE 20€",85.00€,Tapa trasera,Apple
2023-11-27,"A54 5G CAMBIO DE PANTALLA SERVICE PACK, 99€, 29€",99.00€,Cambio pantalla,Samsung
2023-11-27,s10 plus limpieza conector 15€,15.00€,Puerto carga/conector,Samsung
2023-11-27,redmi 9t no carga. revisar 28€,28.00€,Otros,Xiaomi/Redmi
2023-11-27,iPhone 12 Pro REVISAR BOTON DE ENCENCIDO QUE NO FUNCIO 74€,74.00€,Otros,Apple
2023-11-25,HUAWEI P30 SE REALIZO REPARACION DE PLACA BASE Y VU 50€,50.00€,Otros,Huawei/Honor
2023-11-25,"A42 5G no carga bien, si es conector 49€. tap 49€",49.00€,Puerto carga/conector,Samsung
2023-11-25,s20 fe cambio pantalla service pack color lavan 25€,25.00€,Cambio pantalla,Samsung
2023-11-25,Samsung A30s cambio pantalla compatible oled 55€ 32€,55.00€,Cambio pantalla,Samsung
2023-11-24,"a22 5g CAMBIO PANTALLA COMPATIBLE, 55€, SUCIO 25€",55.00€,Cambio pantalla,Samsung
2023-11-24,"Xiaomi Redmi Note 10S CAMBIO PANTALLA, 69€ 30€",69.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-24,iphone 11 cambio pantalla compatible 85€ 20€,85.00€,Cambio pantalla,Apple
2023-11-24,redmi 9 cambio pantalla 45€ 23€,45.00€,Cambio pantalla,Xiaomi/Redmi
2023-11-23,"poco f3 se reinicia, botones volumen no fucnion, 30€",30.00€,Otros,Otras
2023-11-23,redmi 9c cambio pantalla 45€ FALTA BANDEJA SIM 28€,45.00€,Cambio pantalla,Xiaomi/Redmi
